"","Peak NDVI","Four-season NDVI","Pop weighted Peak NDVI","Pop weighted Four-season NDVI","year"
"Arid",0.25,0.21,0.24,0.2,"2015"
"Continental",0.38,0.26,0.37,0.25,"2015"
"Polar",0.17,0.14,0.14,0.12,"2015"
"Temperate",0.37,0.3,0.35,0.28,"2015"
"Tropical",0.41,0.35,0.39,0.33,"2015"
"Global Mean",0.35,0.29,0.34,0.27,"2015"
"Arid1",0.25,0.2,0.22,0.18,"2016"
"Continental1",0.39,0.27,0.37,0.25,"2016"
"Polar1",0.17,0.13,0.13,0.1,"2016"
"Temperate1",0.37,0.29,0.33,0.26,"2016"
"Tropical1",0.41,0.35,0.35,0.3,"2016"
"Global Mean1",0.36,0.28,0.31,0.25,"2016"
"Arid2",0.26,0.21,0.25,0.2,"2020"
"Continental2",0.4,0.27,0.39,0.26,"2020"
"Polar2",0.15,0.13,0.13,0.11,"2020"
"Temperate2",0.36,0.3,0.35,0.29,"2020"
"Tropical2",0.4,0.35,0.38,0.33,"2020"
"Global Mean2",0.35,0.29,0.34,0.27,"2020"
"Arid3",0.25,0.21,0.24,0.2,"2021"
"Continental3",0.39,0.26,0.38,0.25,"2021"
"Polar3",0.16,0.12,0.13,0.1,"2021"
"Temperate3",0.36,0.29,0.35,0.28,"2021"
"Tropical3",0.4,0.34,0.38,0.32,"2021"
"Global Mean3",0.35,0.28,0.34,0.27,"2021"
"Arid4",0.25,0.21,0.24,0.2,"2022"
"Continental4",0.39,0.27,0.38,0.26,"2022"
"Polar4",0.17,0.13,0.14,0.11,"2022"
"Temperate4",0.36,0.3,0.35,0.28,"2022"
"Tropical4",0.4,0.34,0.38,0.32,"2022"
"Global Mean4",0.35,0.28,0.34,0.27,"2022"
"Arid5",0.25,0.21,0.24,0.2,"2023"
"Continental5",0.39,0.27,0.39,0.27,"2023"
"Polar5",0.14,0.11,0.11,0.09,"2023"
"Temperate5",0.37,0.3,0.35,0.29,"2023"
"Tropical5",0.4,0.34,0.38,0.33,"2023"
"Global Mean5",0.35,0.29,0.34,0.28,"2023"
